line_id,character_id,movie_id,character_name,text,movie_title,persona_tag
L42427,u3681,m243,ALVY,Your girl friend's name is Ralph?,annie hall,alvy
L42425,u3681,m243,ALVY,You don't want my autograph.,annie hall,alvy
L42419,u3681,m243,ALVY,I need a large polo mallet!,annie hall,alvy
L42417,u3681,m243,ALVY,"Gimme a break, will yuh, gimme a break. Jesus Christ!",annie hall,alvy
L42415,u3681,m243,ALVY,Fellas... you know-Jesus! Come on!,annie hall,alvy
L42411,u3681,m243,ALVY,Alvy Singer. It was nice nice... Thanks very much... for everything.,annie hall,alvy
L42409,u3681,m243,ALVY,"I'm... I'm, uh, I'm Robert Redford.",annie hall,alvy
L42407,u3681,m243,ALVY,"Once in a while, you know. I mean, you know, every now-",annie hall,alvy
L42405,u3681,m243,ALVY,You wouldn't know it. It doesn't matter. What's the difference?,annie hall,alvy
L42403,u3681,m243,ALVY,"No. Yeah, once in a while. You know, like occasionally.",annie hall,alvy
L42563,u3681,m243,ALVY,"Oh, my God!  She's right! Why did I turn off Allison Portchnik? She was-she was beautiful. She was willing. She was real... intelligent.  Is it the old Groucho Marx joke? That-that I-I just don't wanna belong to any club that would have someone like me for a member?",annie hall,alvy
L42561,u3681,m243,ALVY,I-I-I-I would leave out the men's- room attendant.,annie hall,alvy
L42559,u3681,m243,ALVY,Tsch.,annie hall,alvy
L42557,u3681,m243,ALVY,"L-L-Lyndon Johns Lyndon Johnson is a politician. You know the ethics those guys have? It's like-uh, a notch underneath child molester.",annie hall,alvy
L42555,u3681,m243,ALVY,"Hey... honey, I don't know Earl Warren.",annie hall,alvy
L42553,u3681,m243,ALVY,"Well, why not?",annie hall,alvy
L42551,u3681,m243,ALVY,If they-they recovered the shells from that rifle.,annie hall,alvy
L42547,u3681,m243,ALVY,It-but it-it... doesn't make any sense. He drove past the book depository and the police said conclusively that it was an exit wound. So-how is it possible for Oswald to have fired from two angles at once? It doesn't make sense.,annie hall,alvy
L42545,u3681,m243,ALVY,"H'm, I'm sorry, I can't go through with this, because it-I can't get it off my mind, Allison... it's obsessing me!",annie hall,alvy
L42540,u3681,m243,ALVY,Yeah? Allison what?,annie hall,alvy
L42534,u3681,m243,ALVY,"that I've got to... ah... ah... They're gonna laugh at him for a couple minutes, then I gotta go out there, I gotta ... get laughs, too. How much can they laugh?  They-they they're laughed out.",annie hall,alvy
L42532,u3681,m243,ALVY,"I prefer not to, because... look, they're laughing at him. See, so what are yuh telling me-",annie hall,alvy
L42530,u3681,m243,ALVY,"No, because they're-they're laughing, so  I-I-I'd rather not. If you don't mind, I prefer-",annie hall,alvy
L42528,u3681,m243,ALVY,"No, I'm sorry, I'm not goin'- I can't... I don't wanna go on after that comedian.",annie hall,alvy
L42526,u3681,m243,ALVY,"So what are you telling me, you're putting on two comics in a row?",annie hall,alvy
L42524,u3681,m243,ALVY,"No, it can't be, because he's a comic.",annie hall,alvy
L42522,u3681,m243,ALVY,"What do you mean, next?",annie hall,alvy
L42520,u3681,m243,ALVY,Alvy... Alvy Singer. I'm a comedian.,annie hall,alvy
L42518,u3681,m243,ALVY,"Excuse... excuse me, when do I go on?",annie hall,alvy
L43642,u3681,m243,ALVY,I thought just earplugs.,annie hall,alvy
L43640,u3681,m243,ALVY,You mean they give awards for that kind o' music?,annie hall,alvy
L43638,u3681,m243,ALVY,The what?,annie hall,alvy
L43636,u3681,m243,ALVY,"Air miles, you know. I mean, you know what that does to my stomach?",annie hall,alvy
L43634,u3681,m243,ALVY,You mean that...  I-I-I-I flew three thousand miles to see you.,annie hall,alvy
L43632,u3681,m243,ALVY,"The usual, you know. Uh, tryin' t' write. I'm workin' on a play.  Jesus. So whatta yuh saying? That you're not comin' back to New York with me?",annie hall,alvy
L43630,u3681,m243,ALVY,"No.  Yes, of course I'm mad, because you love me, I know that.",annie hall,alvy
L43628,u3681,m243,ALVY,"Okay.  Check, please. Can I -can I... Can I... Can I...",annie hall,alvy
L43626,u3681,m243,ALVY,"I can't enjoy anything unless I... unless everybody is. I-you know, if one guy is starving someplace, that's... you know, I-I... it puts a crimp in my evening.  So wanna get married or what?",annie hall,alvy
L43624,u3681,m243,ALVY,"That's right, 'cause it's an important issue.",annie hall,alvy
L43622,u3681,m243,ALVY,"Hey, you didn't read ""Death in Venice"" till I bought it for yuh.",annie hall,alvy
L43620,u3681,m243,ALVY,So whatta you... You're not gonna come back to New York?,annie hall,alvy
L43618,u3681,m243,ALVY,Why? You wanna live out here all year? It's like living in Munchkin Land.,annie hall,alvy
L43616,u3681,m243,ALVY,"You see, I-I've been thinking about it and I think that we should get married.",annie hall,alvy
L43614,u3681,m243,ALVY,You look very pretty.,annie hall,alvy
L43589,u3681,m243,ALVY,Yeah.,annie hall,alvy
L43587,u3681,m243,ALVY,"You know, I-I-I don't think many couples could handle this. You know, they could just break up and remain friends.",annie hall,alvy
L43585,u3681,m243,ALVY,We can always come back together again. Because there's no-there's no problem. 'Cause... Right.,annie hall,alvy
L43583,u3681,m243,ALVY,Right. And you-and you know what the beauty part is?,annie hall,alvy
L43581,u3681,m243,ALVY,"Yeah, and I-I tru- you know, I trust her, because my-my analyst recommended her.",annie hall,alvy
L43577,u3681,m243,ALVY,"Thanks, honey.",annie hall,alvy
L43575,u3681,m243,ALVY,Remember that day?,annie hall,alvy
L43573,u3681,m243,ALVY,This is the first book that I got you.,annie hall,alvy
L43571,u3681,m243,ALVY,"This ""Denial of Death"". You remember this?",annie hall,alvy
L43569,u3681,m243,ALVY,"There's no-no question in my mind. I think we're doing the mature thing, without any doubt.",annie hall,alvy
L43567,u3681,m243,ALVY,"Oh, it sure has... You know, you wrote your name in all my books, 'cause you knew this day was gonna come.",annie hall,alvy
L43565,u3681,m243,ALVY,"Whose ""Catcher in the Rye"" is this?",annie hall,alvy
L43564,u3681,m243,ALVY,"Tsch, I know. A relationship, I think, is-is like a shark, you know? It has to constantly move forward or it dies.  And I think what we got on our hands  is a dead shark.",annie hall,alvy
L43555,u3681,m243,ALVY,"Yeah, she's got a great-lookin' fa- A pat on the androgynous side. But it's...",annie hall,alvy
L43553,u3681,m243,ALVY,"Yeah, and gradually you get old and die. You know it's important to make a little effort once in a while.",annie hall,alvy
L43551,u3681,m243,ALVY,I'm cool.,annie hall,alvy
L43539,u3681,m243,ALVY,I'm into garbage. It's my thing.,annie hall,alvy
L43532,u3681,m243,ALVY,"Yeah, this place is great.",annie hall,alvy
L43469,u3681,m243,ALVY,Christ!,annie hall,alvy
