line_id,character_id,movie_id,character_name,text,movie_title
L36777,u327,m20,BATEMAN,"See? Happy? You dumb bitch? Are you happy, you dumb bitch?",american psycho
L190014,u5076,m336,ERIN,Kinda like David and what's-his-name?,erin brockovich
L43320,u3681,m243,ALVY,Here's a real present.,annie hall
L42733,u3681,m243,ALVY,"Well, thanks, thank you. You-you're a wonderful tennis player.",annie hall
L43622,u3681,m243,ALVY,"Hey, you didn't read ""Death in Venice"" till I bought it for yuh.",annie hall
L37197,u327,m20,BATEMAN,Dorsia is...fine.,american psycho
L42647,u3681,m243,ALVY,"Hey, come on, it's quiet now. We can- we can start again.",annie hall
L43555,u3681,m243,ALVY,"Yeah, she's got a great-lookin' fa- A pat on the androgynous side. But it's...",annie hall
L212720,u5262,m348,JACK,Uh... nah...,fight club
L189664,u5076,m336,ERIN,Who's Baxter?,erin brockovich
L37453,u327,m20,BATEMAN,"But wait, Harold, what do you mean?",american psycho
L37235,u327,m20,BATEMAN,"Oh. Uh, tape. Duct tape. I...need it for... taping something. Bateman goes back to the cupboard for the nail gun.",american psycho
L43565,u3681,m243,ALVY,"Whose ""Catcher in the Rye"" is this?",annie hall
L36924,u327,m20,BATEMAN,"So, what's the topic of discussion?",american psycho
L42919,u3681,m243,ALVY,"You know what I mean? Like the tip o'your nose, and if I stroke your teeth or your kneecaps... you get excited.",annie hall
L250999,u1169,m77,BEN,Well -- it's very comfortable -- just to drift here.,the graduate
L251216,u1169,m77,BEN,"We're not dropping it. Now that's the reason, isn't it? I'm a dirty degenerate, aren't I? I'm not fit to --",the graduate
L212729,u5262,m348,JACK,... and you come home to this.,fight club
L37203,u327,m20,BATEMAN,Two at nine? Perfect.,american psycho
L251507,u1169,m77,BEN,Ahhh.,the graduate
L251068,u1169,m77,BEN,Art. That's a good subject. You start it off.,the graduate
L42409,u3681,m243,ALVY,"I'm... I'm, uh, I'm Robert Redford.",annie hall
L212851,u5262,m348,JACK,No... no problem.,fight club
L213045,u5262,m348,JACK,I'm not asking you to.,fight club
L37357,u327,m20,BATEMAN,"I'm...in touch with humanity. Evelyn, I'm sorry. You're just not terribly important to me.",american psycho
L189860,u5076,m336,ERIN,"Oh, come on, where's your sense of adventure? We're going someplace you never been before.",erin brockovich
L36956,u327,m20,BATEMAN,Thanks.,american psycho
L43117,u3681,m243,ALVY,Yeah?,annie hall
L42927,u3681,m243,ALVY,"I-uh, love is, uh, is too weak a word for what...",annie hall
L190463,u5076,m336,ERIN,And you were told to destroy those?,erin brockovich
L189967,u5076,m336,ERIN,"I'm the one who's injured, and this joker who sits at a desk all day is gonna walk away with almost half my reward?",erin brockovich
L250881,u1169,m77,BEN,Well -- I don't. I mean I could. Or we could just talk.,the graduate
L190321,u5076,m336,ERIN,Kurt thought? What about you? Do you think anymore?,erin brockovich
L42877,u3681,m243,ALVY,"M'hm. You're not gonna believe this, but-",annie hall
L42663,u3681,m243,ALVY,"Don't you see? The rest of the country looks upon New York like we're-we're left-wing Communist, Jewish, homosexual, pornographers. I think of us that way, sometimes, and I-I live here.",annie hall
L36754,u327,m20,BATEMAN,"Courtney, you're going to have the peanut butter soup with smoked duck and mashed squash. New York magazine called it a 'playful but mysterious little dish."" You'll love it. And then...the red snapper with violets and pine nuts. I think that'll follow nicely.",american psycho
L250654,u1169,m77,BEN,"Mrs. Robinson, will you forgive me for what I just said?",the graduate
L190434,u5076,m336,ERIN,"No, I need my car --",erin brockovich
L213242,u5262,m348,JACK,Say my name! What's my name!?,fight club
L251140,u1169,m77,BEN,"Well how do you feel about him, then?",the graduate
L251422,u1169,m77,BEN,I just don't believe you would do that.,the graduate
L250887,u1169,m77,BEN,Well -- I don't know.,the graduate
L212843,u5262,m348,JACK,Here.,fight club
L43113,u3681,m243,ALVY,I whine. I-I-I sit and I whine.,annie hall
L37129,u327,m20,BATEMAN,"How's the investigation going? Taken anyone in for ""formal questioning?""",american psycho
L36770,u327,m20,BATEMAN,"It's a plain end, see? So?",american psycho
L190205,u5076,m336,ERIN,Where's my paycheck?,erin brockovich
L213413,u5262,m348,JACK,Yes...,fight club
L213346,u5262,m348,JACK,Marla...,fight club
L212433,u5262,m348,JACK,"Excuse me? ""Throwers?""",fight club
